#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
442,Sorath,95,GEN,Bombay,Nathwani Narendra Pragji,Indian National Congress,"3,30,799","1,54,686",46.8 %
443,Srikakulam,1,GEN,Andhra Pradesh,Boddepalli Rajagopala Rao,Indian National Congress,"4,16,861","1,53,238",36.8 %
444,Srivilliputhur,213,GEN,Madras,U. Muthuramalinga Thevar,Independent,"8,76,837","8,56,319",48.8 %
445,Srivilliputhur,213,GEN,Madras,R. S. Arumugam,Indian National Congress,"8,76,837","8,56,319",48.8 %
446,Sultanpur,357,GEN,Uttar Pradesh [1947 - 1999],Govind Malviya,Indian National Congress,"3,78,911","1,46,128",38.6 %
447,Sundargarh,253,ST,Orissa,Chandramani Kalo,Ganatantra Parishad,"4,11,340","1,86,563",45.4 %
448,Surat,110,GEN,Bombay,Desai Morarji Ranchhodji,Indian National Congress,"3,74,614","2,29,639",61.3 %
449,Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Maharajkumar Chandikeshwar Sharan,Indian National Congress,"7,80,916","4,62,295",29.6 %
450,Surguja,186,GEN,Madhya Pradesh [1947 - 1999],Singh Babunath,Indian National Congress,"7,80,916","4,62,295",29.6 %
451,Tamulk,384,GEN,West Bengal,Satish Chandra Samanta,Indian National Congress,"4,47,374","3,12,236",69.8 %
452,Tanjore,207,GEN,Madras,R. Venkataraman,Indian National Congress,"4,25,088","2,33,532",54.9 %
453,Tarn Taran,272,GEN,Punjab,Surjit Singh Majithia,Indian National Congress,"4,07,970","2,63,853",64.7 %
454,Tehri Garhwal,300,GEN,Uttar Pradesh [1947 - 1999],H. H. Maharaja Manvendra Shah,Indian National Congress,"3,95,937","1,40,313",35.4 %
455,Tellicherry,163,GEN,Kerala,M. K. Jinachandran,Indian National Congress,"4,68,639","2,96,394",63.3 %
456,Tenali,12,GEN,Andhra Pradesh,N.G. Ranga,Indian National Congress,"4,60,055","2,71,205",59.0 %
457,Tenkasi,217,GEN,Madras,M. Sankarapandian,Indian National Congress,"4,41,227","2,46,842",55.9 %
458,Thana,115,GEN,Bombay,Matera Laxman Mahadya,Communist Party Of India,"7,03,805","8,19,055",58.2 %
459,Thana,115,GEN,Bombay,Parulekar Shamrao Vishnu,Communist Party Of India,"7,03,805","8,19,055",58.2 %
460,Thiruvalla,153,GEN,Kerala,Vasudevan Nair P. K.,Communist Party Of India,"4,07,397","3,00,891",73.9 %
461,Thiruvannamalai,197,GEN,Madras,Dharmalingam,Independent,"4,26,665","2,01,960",47.3 %
462,Tindivanam,203,GEN,Madras,Shanmugham,Independent,"4,18,327","2,02,831",48.5 %
463,Tiptur,241,GEN,Mysore,C. R. Basappa,Indian National Congress,"4,01,372","2,14,912",53.5 %
464,Tiruchendur,215,GEN,Madras,T. Ganapathy,Indian National Congress,"4,48,411",RU,NA
465,Tiruchengode,200,GEN,Madras,Dr.  P. Subbarayan,Indian National Congress,"4,09,325","1,50,612",36.8 %
466,Tiruchirappalli,210,GEN,Madras,M. K. M. Abdul Salam,Indian National Congress,"4,17,789","2,15,752",51.6 %
467,Tirunelveli,216,GEN,Madras,P. T. Thanu Pillai,Indian National Congress,"4,45,857","2,08,476",46.8 %
468,Tiruppattur,198,GEN,Madras,A. Duraisami Gounder,Indian National Congress,"4,18,543","1,60,629",38.4 %
469,Tiruvallur,195,GEN,Madras,R. Govindarajulu Naidu,Indian National Congress,"4,05,032","1,85,446",45.8 %
470,Trichur,158,GEN,Kerala,Krishnan,Communist Party Of India,"3,99,347","2,80,441",70.2 %
471,Tripura,403,GEN,Tripura,Deb Barma Bangshi,Indian National Congress,"4,32,902","5,50,338",63.6 %
472,Tripura,403,GEN,Tripura,Deb Dasaratha,Communist Party Of India,"4,32,902","5,50,338",63.6 %
473,Trivandrum,149,GEN,Kerala,Easwara Iyer,Independent,"4,09,120","2,88,976",70.6 %
474,Tumkur,242,GEN,Mysore,M. V. Krishnappa,Indian National Congress,"3,82,008","1,94,201",50.8 %
475,Udaipur,289,GEN,Rajasthan,Manikya Lal Verma,Indian National Congress,"7,32,882","4,67,004",31.9 %
476,Udaipur,289,GEN,Rajasthan,Deen Bandhu,Indian National Congress,"7,32,882","4,67,004",31.9 %
477,Udipi,248,GEN,Mysore,Srinivasa Malliah U,Indian National Congress,"4,12,748","2,16,205",52.4 %
478,Ujjain,169,GEN,Madhya Pradesh [1947 - 1999],Vyas Radhelal Beharilal,Indian National Congress,"3,86,502","1,70,293",44.1 %
479,Uluberia,380,GEN,West Bengal,Aurobinda Ghosal,Forward Bloc (MARXIST),"4,56,093","2,32,984",51.1 %
480,Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Vishambhar Dayal,Indian National Congress,"8,19,996","6,48,107",39.5 %
481,Unnao,361,GEN,Uttar Pradesh [1947 - 1999],Ganga Devi,Indian National Congress,"8,19,996","6,48,107",39.5 %
482,Varanasi,336,GEN,Uttar Pradesh [1947 - 1999],Raghunath Singh,Indian National Congress,"3,84,576","2,40,997",62.7 %
483,Vellore,196,GEN,Madras,N. R. Munisamy,Indian National Congress,"8,01,572","7,50,365",46.8 %
484,Vellore,196,GEN,Madras,M. Muthukrishnan,Indian National Congress,"8,01,572","7,50,365",46.8 %
485,Vicarabad,27,GEN,Andhra Pradesh,Sangam Lakshmi Bai,Indian National Congress,"3,93,492",RU,NA
486,Vijayawada,10,GEN,Andhra Pradesh,Komarraju Achamamba,Indian National Congress,"4,06,776","2,39,762",58.9 %
487,Visakhapatnam,3,GEN,Andhra Pradesh,Pusapati  Vijayarama Gajapathi Raju,Independent,"3,71,425","1,36,779",36.8 %
488,Warangal,32,GEN,Andhra Pradesh,Sadat Ali Khan,Indian National Congress,"3,43,246","1,99,543",58.1 %
489,Wardha,141,GEN,Bombay,Bajaj Kamalnayan Jamnalal,Indian National Congress,"4,43,289","2,81,686",63.5 %
490,West Dinajpur,368,GEN,West Bengal,Selku Mardi,Indian National Congress,"7,36,998","6,08,460",41.3 %
491,West Dinajpur,368,GEN,West Bengal,Chaplalkanta Bhattacharjee,Indian National Congress,"7,36,998","6,08,460",41.3 %
492,West Khandesh,131,ST,Bombay,Valvi Laxman Vedu,Praja Socialist Party,"3,56,275","1,59,181",44.7 %
493,Yeotmal,142,GEN,Bombay,Gohokar Deorao Yeshwant,Indian National Congress,"3,52,475","2,34,860",66.6 %
494,Zalawad,92,GEN,Bombay,Oza Ghanshyamlal Chhotalal,Indian National Congress,"3,65,781","1,79,299",49.0 %
