#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
417,Shahabad South,18,GEN,Bihar [1947 - 1999],Jagjiwan Ram,Indian National Congress,"6,97,896","5,84,689",41.9 %
418,Shahdol Sidhi,398,GEN,Vindhya Pradesh,Bhagwan Dutta Shastri,Socialist Party,"5,95,865","1,59,557",26.8 %
419,Shahdol Sidhi,398,GEN,Vindhya Pradesh,Randaman Singh,Kisan Mazdoor Praja Party,"5,95,865",RU,NA
420,Shajahanpur Distt (NORTH) CUM KHERI DISTT (EAST),244,GEN,Uttar Pradesh [1947 - 1999],Rameshwar Prasad Neva,Indian National Congress,"8,00,993","4,79,588",29.9 %
421,Shajahanpur Distt (NORTH) CUM KHERI DISTT (EAST),244,GEN,Uttar Pradesh [1947 - 1999],Ganeshi Lal Chowdhry,Indian National Congress,"8,00,993","4,79,588",29.9 %
422,Shajapur Rajgarh,328,GEN,Madhya Bharat,Liladhar Joshi,Indian National Congress,"7,34,582","4,85,562",33.1 %
423,Shajapur Rajgarh,328,GEN,Madhya Bharat,Bhagu Nandu,Indian National Congress,"7,34,582","4,85,562",33.1 %
424,Shimoga,340,GEN,Mysore,K. G. Wodeyar,Indian National Congress,"3,13,647","2,35,659",75.1 %
425,Sholapur,77,GEN,Bombay,More Shankar Shantaram,Peasants & Workers Party,"8,01,712","7,80,170",48.7 %
426,Sholapur,77,GEN,Bombay,Rajbhoj Pandurang Nathuji,All India Scheduled Caste Federation,"8,01,712","7,80,170",48.7 %
427,Sibsagar North Lakhimpur,9,GEN,Assam,"Buragohain, Surendranath",Indian National Congress,"3,45,910","1,69,015",48.9 %
428,Sikar,355,GEN,Rajasthan,Nand Lal,Akhil Bharatiya Ram Rajya Parishad,"3,23,013","1,34,158",41.5 %
429,Sirohi Pali,353,GEN,Rajasthan,Ajit Singh,Independent,"3,80,210","1,59,335",41.9 %
430,Sitapur Distt Cum Kheri Distt (WEST),245,GEN,Uttar Pradesh [1947 - 1999],Pragi Lal,Indian National Congress,"7,72,283","5,31,924",34.4 %
431,Sitapur Distt Cum Kheri Distt (WEST),245,GEN,Uttar Pradesh [1947 - 1999],Uma Nehru,Indian National Congress,"7,72,283","5,31,924",34.4 %
432,Sorath,369,GEN,Saurashtra,Nathiwani Narendra,Indian National Congress,"3,16,584","1,70,901",54.0 %
433,South Kanara (NORTH),170,GEN,Madras,U. Srinivasa Mallyya,Indian National Congress,"3,44,159","2,20,761",64.2 %
434,South Kanara South,171,GEN,Madras,B. Shiva Rao,Indian National Congress,"3,40,360","2,06,101",60.6 %
435,South Satara,79,GEN,Bombay,Pawar Vyankatrao Pirajirao,Indian National Congress,"3,69,033","2,23,955",60.7 %
436,Srikakulam,116,GEN,Madras,Boddapalli Rajagopala Rao,Independent,"3,67,407","1,85,675",50.5 %
437,Srivaikuntam,162,GEN,Madras,A. V. Thomas,Indian National Congress,"3,53,299","1,72,254",48.8 %
438,Srivilliputtur,166,GEN,Madras,K. Kamaraj Nadar,Indian National Congress,"3,39,344","2,24,114",66.0 %
439,Sultanpur District (SOUTH),250,GEN,Uttar Pradesh [1947 - 1999],B. V. Keskar,Indian National Congress,"3,62,718","1,36,044",37.5 %
440,Sultanpur Distt (NORTH) CUM FAIZABAD DISTT (SOUTH WEST),251,GEN,Uttar Pradesh [1947 - 1999],M. A. Kazmi,Indian National Congress,"3,77,670","1,12,311",29.7 %
441,Sundargarh,182,ST,Orissa,Sibnarayan Singh,Indian National Congress,"3,89,204","1,79,734",46.2 %
442,Surat,65,GEN,Bombay,Desai Kanhaiyalal Nanabhai,Indian National Congress,"7,45,093","8,61,336",57.8 %
443,Surat,65,GEN,Bombay,Patel Bahadurbhai Kuthabhai,Indian National Congress,"7,45,093","8,61,336",57.8 %
444,Surguja Raigarh,92,GEN,Madhya Pradesh [1947 - 1999],Babunath Singh,Indian National Congress,"8,04,512","6,24,338",38.8 %
445,Surguja Raigarh,92,GEN,Madhya Pradesh [1947 - 1999],Maharajkumar Chandikeshwar Sharan Singh Ju Deo,Independent,"8,04,512","6,24,338",38.8 %
446,Tamluk,286,GEN,West Bengal,"Samanta, Satish Chandra",Indian National Congress,"3,75,461","2,55,379",68.0 %
447,Tanjore,156,GEN,Madras,R. Venkataraman,Indian National Congress,"3,67,963","2,01,724",54.8 %
448,Tarn Taran,206,GEN,Punjab,Surjit Singh,Indian National Congress,"3,77,664","2,12,396",56.2 %
449,Tellicherry,173,GEN,Madras,N. Damodaran,Kisan Mazdoor Praja Party,"3,23,528","2,31,138",71.4 %
450,Tenali,126,GEN,Madras,Kotha Raghuramiah,Indian National Congress,"3,41,801","2,59,773",76.0 %
451,Thana,66,GEN,Bombay,Nandkar Anant Savalaram,Indian National Congress,"7,12,902","7,18,242",50.4 %
452,Thana,66,GEN,Bombay,Vartak Govind Dharmaji,Indian National Congress,"7,12,902","7,18,242",50.4 %
453,Thiruvella,375,GEN,Travancore Cochin,Mathen C. P.,Indian National Congress,"3,52,821","2,57,600",73.0 %
454,Tindivanam,160,GEN,Madras,A. Jayaraman,The Tamil Nad Toilers Party,"7,21,419","7,89,592",54.7 %
455,Tindivanam,160,GEN,Madras,V. Muniswami,The Tamil Nad Toilers Party,"7,21,419","7,89,592",54.7 %
456,Tiruchengode,149,GEN,Madras,S. K. Baby Alias Kandaswami,Independent,"3,70,121","1,74,637",47.2 %
457,Tiruchirapalli,155,GEN,Madras,E. Mathuram,Independent,"3,53,822","2,14,952",60.8 %
458,Tirunelvali,161,GEN,Madras,Thanu Pillai,Indian National Congress,"3,52,281","1,94,203",55.1 %
459,Tirupathi,138,GEN,Madras,M. Ananthasayanam Ayyanagar,Indian National Congress,"3,76,107","2,23,527",59.4 %
460,Tiruppur,150,GEN,Madras,T. S. Avinashilingam Chettiar,Indian National Congress,"3,67,261","2,08,375",56.7 %
461,Tiruvallur,140,GEN,Madras,Margatham Chandrasekar,Indian National Congress,"7,04,970","6,16,210",43.7 %
462,Tiruvallur,140,GEN,Madras,P. Natesan,Indian National Congress,"7,04,970","6,16,210",43.7 %
463,Tonk,357,GEN,Rajasthan,Panna Lal Kaushik,Indian National Congress,"3,87,328","1,29,770",33.5 %
464,Trichure,380,GEN,Travancore Cochin,Iyyunni Chalakka,Indian National Congress,"3,38,603","1,72,906",51.1 %
465,Tripura East,396,GEN,Tripura,Dasaratha Deb,Communist Party Of India,"1,79,607","79,520",44.3 %
466,Tripura West,397,GEN,Tripura,Birendra Chandra Dutt,Communist Party Of India,"1,50,199","77,851",51.8 %
467,Trivandrum,371,GEN,Travancore Cochin,Annie Mascarene,Independent,"3,56,512","2,55,044",71.5 %
468,Tumkur,334,GEN,Mysore,C. R. Basappa,Indian National Congress,"3,74,292","2,23,505",59.7 %
469,Udaipur,359,GEN,Rajasthan,Balwant Singh,Indian National Congress,"3,68,279","91,944",25.0 %
470,Ujjain,327,GEN,Madhya Bharat,Radhelal Vyas,Indian National Congress,"3,52,375","1,33,816",38.0 %
471,Uluberia,288,GEN,West Bengal,Satyaban Roy,Indian National Congress,"3,82,085","1,84,939",48.4 %
472,Unnao District Cum Rae Bareli Distt (WEST) CUM HARDOI DISTRICT (SOUTH EAST),242,GEN,Uttar Pradesh [1947 - 1999],Vishamabher,Indian National Congress,"7,44,918","5,04,827",33.9 %
473,Unnao District Cum Rae Bareli Distt (WEST) CUM HARDOI DISTRICT (SOUTH EAST),242,GEN,Uttar Pradesh [1947 - 1999],Swami Raman,Indian National Congress,"7,44,918","5,04,827",33.9 %
474,Vellore,143,GEN,Madras,Muthukrishnan,Indian National Congress,"7,31,534","6,67,641",45.6 %
475,Vellore,143,GEN,Madras,Ramachander,Common Weal Party,"7,31,534","6,67,641",45.6 %
476,Vijayavada,125,GEN,Madras,Harindranath Chatopadhyya,Independent,"3,67,722","2,64,680",72.0 %
477,Vikarabad,310,GEN,Hyderabad,Ebenezer S. A.,Indian National Congress,"3,77,940","1,81,357",48.0 %
478,Visahkapatnam,119,GEN,Madras,Lanka Sundaram,Independent,"7,07,707","3,39,476",48.0 %
479,Visahkapatnam,119,GEN,Madras,Gam Malludora,Independent,"7,07,707",RU,NA
480,Vizianagaram,118,GEN,Madras,Kandala Subramaniam,Socialist Party,"3,74,684","1,81,852",48.5 %
481,Wandiwah,144,GEN,Madras,Munisami,Common Weal Party,"3,36,147","1,77,512",52.8 %
482,Warangal,321,GEN,Hyderabad,Pendyal Raghava Rao,Peoples Democratic Front,"3,65,451","1,86,506",51.0 %
483,Wardha,107,GEN,Madhya Pradesh [1947 - 1999],Shrimannarayan Dharamnarayan Agarwal,Indian National Congress,"3,90,119","2,38,029",61.0 %
484,West Dinajpur,278,GEN,West Bengal,Susil Ranjan Chattopadhyay,Indian National Congress,"3,65,483","1,49,398",40.9 %
485,West Khandesh,71,GEN,Bombay,Bharatiya Shaligram Ramchandra,Indian National Congress,"7,53,372","7,54,356",50.1 %
486,West Khandesh,71,GEN,Bombay,Natwadkar Jayantrao Ganpat,Indian National Congress,"7,53,372","7,54,356",50.1 %
487,Yadgir,308,GEN,Hyderabad,Krishna Charya Joshi,Indian National Congress,"3,62,832",RU,NA
488,Yeotmal,113,GEN,Madhya Pradesh [1947 - 1999],Sahadeo Arjun Bharati,Indian National Congress,"3,96,935","2,21,757",55.9 %
489,Zalawad,366,GEN,Saurashtra,Parikh Rasiklal Umedchand,Indian National Congress,"3,15,707","1,63,963",51.9 %
